url,url length,indexed?,title,title length,description,description length,h1 count,h1,h1 length
https://www.movebubble.com/flat-to-rent/uk/london/10382,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/10511,55,true,2 Bedroom Flat in London | Movebubble,37,2 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/herne-hill/10282,66,true,"2 Bedroom Flat in Herne Hill, London | Movebubble",49,"2 Bedroom Flat in Herne Hill, London available to rent.",55,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/south-lambeth/9550,68,true,"2 Bedroom Flat in South Lambeth, London | Movebubble",52,"2 Bedroom Flat in South Lambeth, London available to rent.",58,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/brixton/9377,62,true,"1 Bedroom Flat in Brixton, London | Movebubble",46,"1 Bedroom Flat in Brixton, London available to rent.",52,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/stockwell/9479,64,true,"1 Bedroom Flat in Stockwell, London | Movebubble",48,"1 Bedroom Flat in Stockwell, London available to rent.",54,0,,0
https://www.movebubble.com/house-to-rent/uk/ilford/14148,56,true,1 Bedroom House in Ilford | Movebubble,38,1 Bedroom House in Ilford available to rent.,44,0,,0
https://www.movebubble.com/house-to-rent/uk/ilford/clayhall/14340,65,true,"3 Bedroom House in CLAYHALL, Ilford | Movebubble",48,"3 Bedroom House in CLAYHALL, Ilford available to rent.",54,0,,0
https://www.movebubble.com/house-to-rent/uk/london/11809,56,true,2 Bedroom House in London | Movebubble,38,2 Bedroom House in London available to rent.,44,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/wanstead/1505,63,true,"1 Bedroom Flat in Wanstead, London | Movebubble",47,"1 Bedroom Flat in Wanstead, London available to rent.",53,0,,0
https://www.movebubble.com/Property/Search?location=Clapham%2C%20London%20SW4&CurrentPage=2,91,true,"Properties in Clapham, London SW4 | Movebubble",46,"A great list of Properties in Clapham, London SW4 from private landlords",72,1,"Properties in Clapham, London SW4",33
https://www.movebubble.com/Property/Search?location=Clapham%2C%20London%20SW4&CurrentPage=2,91,true,"Properties in Clapham, London SW4 | Movebubble",46,"A great list of Properties in Clapham, London SW4 from private landlords",72,1,"Properties in Clapham, London SW4",33
https://www.movebubble.com/house-to-rent/uk/london/wanstead/1378,64,true,"1 Bedroom House in Wanstead, London | Movebubble",48,"1 Bedroom House in Wanstead, London available to rent.",54,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12808,55,true,2 Bedroom Flat in London | Movebubble,37,2 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12707,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12740,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/notting-hill/12459,68,true,"1 Bedroom Flat in Notting Hill, London | Movebubble",51,"1 Bedroom Flat in Notting Hill, London available to rent.",57,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12457,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/Property/Search?location=South%20Woodford%2C%20London%20E18&searchRadius=5,101,true,"Properties in South Woodford, London E18 | Movebubble",53,"A great list of Properties in South Woodford, London E18 from private landlords",79,1,"Properties in South Woodford, London E18",40
https://www.movebubble.com/flat-to-rent/uk/london/12172,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/Property/Search?location=Notting%20Hill%2C%20London%20W11&CurrentPage=2,98,true,"Properties in Notting Hill, London W11 | Movebubble",51,"A great list of Properties in Notting Hill, London W11 from private landlords",77,1,"Properties in Notting Hill, London W11",38
